eye0,mouth0,turn0,nod0,eye1,mouth1,turn1,nod1,eye2,mouth2,turn2,nod2,eye3,mouth3,turn3,nod3,eye4,mouth4,turn4,nod4,eye5,mouth5,turn5,nod5,eye6,mouth6,turn6,nod6,eye7,mouth7,turn7,nod7,eye8,mouth8,turn8,nod8,eye9,mouth9,turn9,nod9,eye10,mouth10,turn10,nod10,eye11,mouth11,turn11,nod11,eye12,mouth12,turn12,nod12,eye13,mouth13,turn13,nod13,eye14,mouth14,turn14,nod14,eye15,mouth15,turn15,nod15,eye16,mouth16,turn16,nod16,eye17,mouth17,turn17,nod17,eye18,mouth18,turn18,nod18,eye19,mouth19,turn19,nod19,label
1079,1374,117,977,1024,1375,111,967,1036,1355,99,964,1047,1355,84,972,1024,1364,77,969,1031,1358,83,972,1047,1360,74,972,1027,1352,75,967,1041,1345,80,984,1094,1348,82,987,1074,1329,91,987,1090,1359,72,971,1074,1345,77,970,1080,1328,81,976,1057,1385,85,959,1079,1359,81,960,1051,1348,83,965,1036,1341,86,965,1063,1345,91,965,1070,1387,78,971,0
1024,1375,111,967,1036,1355,99,964,1047,1355,84,972,1024,1364,77,969,1031,1358,83,972,1047,1360,74,972,1027,1352,75,967,1041,1345,80,984,1094,1348,82,987,1074,1329,91,987,1090,1359,72,971,1074,1345,77,970,1080,1328,81,976,1057,1385,85,959,1079,1359,81,960,1051,1348,83,965,1036,1341,86,965,1063,1345,91,965,1070,1387,78,971,1078,1406,90,969,0
1036,1355,99,964,1047,1355,84,972,1024,1364,77,969,1031,1358,83,972,1047,1360,74,972,1027,1352,75,967,1041,1345,80,984,1094,1348,82,987,1074,1329,91,987,1090,1359,72,971,1074,1345,77,970,1080,1328,81,976,1057,1385,85,959,1079,1359,81,960,1051,1348,83,965,1036,1341,86,965,1063,1345,91,965,1070,1387,78,971,1078,1406,90,969,1086,1395,83,969,0
1047,1355,84,972,1024,1364,77,969,1031,1358,83,972,1047,1360,74,972,1027,1352,75,967,1041,1345,80,984,1094,1348,82,987,1074,1329,91,987,1090,1359,72,971,1074,1345,77,970,1080,1328,81,976,1057,1385,85,959,1079,1359,81,960,1051,1348,83,965,1036,1341,86,965,1063,1345,91,965,1070,1387,78,971,1078,1406,90,969,1086,1395,83,969,1142,1398,84,964,0
1024,1364,77,969,1031,1358,83,972,1047,1360,74,972,1027,1352,75,967,1041,1345,80,984,1094,1348,82,987,1074,1329,91,987,1090,1359,72,971,1074,1345,77,970,1080,1328,81,976,1057,1385,85,959,1079,1359,81,960,1051,1348,83,965,1036,1341,86,965,1063,1345,91,965,1070,1387,78,971,1078,1406,90,969,1086,1395,83,969,1142,1398,84,964,1122,1385,79,976,0
1031,1358,83,972,1047,1360,74,972,1027,1352,75,967,1041,1345,80,984,1094,1348,82,987,1074,1329,91,987,1090,1359,72,971,1074,1345,77,970,1080,1328,81,976,1057,1385,85,959,1079,1359,81,960,1051,1348,83,965,1036,1341,86,965,1063,1345,91,965,1070,1387,78,971,1078,1406,90,969,1086,1395,83,969,1142,1398,84,964,1122,1385,79,976,801,1374,74,973,0
1047,1360,74,972,1027,1352,75,967,1041,1345,80,984,1094,1348,82,987,1074,1329,91,987,1090,1359,72,971,1074,1345,77,970,1080,1328,81,976,1057,1385,85,959,1079,1359,81,960,1051,1348,83,965,1036,1341,86,965,1063,1345,91,965,1070,1387,78,971,1078,1406,90,969,1086,1395,83,969,1142,1398,84,964,1122,1385,79,976,801,1374,74,973,965,1347,92,970,0
1027,1352,75,967,1041,1345,80,984,1094,1348,82,987,1074,1329,91,987,1090,1359,72,971,1074,1345,77,970,1080,1328,81,976,1057,1385,85,959,1079,1359,81,960,1051,1348,83,965,1036,1341,86,965,1063,1345,91,965,1070,1387,78,971,1078,1406,90,969,1086,1395,83,969,1142,1398,84,964,1122,1385,79,976,801,1374,74,973,965,1347,92,970,986,1400,83,990,0
1041,1345,80,984,1094,1348,82,987,1074,1329,91,987,1090,1359,72,971,1074,1345,77,970,1080,1328,81,976,1057,1385,85,959,1079,1359,81,960,1051,1348,83,965,1036,1341,86,965,1063,1345,91,965,1070,1387,78,971,1078,1406,90,969,1086,1395,83,969,1142,1398,84,964,1122,1385,79,976,801,1374,74,973,965,1347,92,970,986,1400,83,990,1006,1352,85,987,0
1094,1348,82,987,1074,1329,91,987,1090,1359,72,971,1074,1345,77,970,1080,1328,81,976,1057,1385,85,959,1079,1359,81,960,1051,1348,83,965,1036,1341,86,965,1063,1345,91,965,1070,1387,78,971,1078,1406,90,969,1086,1395,83,969,1142,1398,84,964,1122,1385,79,976,801,1374,74,973,965,1347,92,970,986,1400,83,990,1006,1352,85,987,955,1344,81,978,0
1074,1329,91,987,1090,1359,72,971,1074,1345,77,970,1080,1328,81,976,1057,1385,85,959,1079,1359,81,960,1051,1348,83,965,1036,1341,86,965,1063,1345,91,965,1070,1387,78,971,1078,1406,90,969,1086,1395,83,969,1142,1398,84,964,1122,1385,79,976,801,1374,74,973,965,1347,92,970,986,1400,83,990,1006,1352,85,987,955,1344,81,978,993,1345,86,982,0
1090,1359,72,971,1074,1345,77,970,1080,1328,81,976,1057,1385,85,959,1079,1359,81,960,1051,1348,83,965,1036,1341,86,965,1063,1345,91,965,1070,1387,78,971,1078,1406,90,969,1086,1395,83,969,1142,1398,84,964,1122,1385,79,976,801,1374,74,973,965,1347,92,970,986,1400,83,990,1006,1352,85,987,955,1344,81,978,993,1345,86,982,1031,1331,83,978,0
1074,1345,77,970,1080,1328,81,976,1057,1385,85,959,1079,1359,81,960,1051,1348,83,965,1036,1341,86,965,1063,1345,91,965,1070,1387,78,971,1078,1406,90,969,1086,1395,83,969,1142,1398,84,964,1122,1385,79,976,801,1374,74,973,965,1347,92,970,986,1400,83,990,1006,1352,85,987,955,1344,81,978,993,1345,86,982,1031,1331,83,978,1031,1355,76,974,0
1080,1328,81,976,1057,1385,85,959,1079,1359,81,960,1051,1348,83,965,1036,1341,86,965,1063,1345,91,965,1070,1387,78,971,1078,1406,90,969,1086,1395,83,969,1142,1398,84,964,1122,1385,79,976,801,1374,74,973,965,1347,92,970,986,1400,83,990,1006,1352,85,987,955,1344,81,978,993,1345,86,982,1031,1331,83,978,1031,1355,76,974,1044,1344,92,988,0
1057,1385,85,959,1079,1359,81,960,1051,1348,83,965,1036,1341,86,965,1063,1345,91,965,1070,1387,78,971,1078,1406,90,969,1086,1395,83,969,1142,1398,84,964,1122,1385,79,976,801,1374,74,973,965,1347,92,970,986,1400,83,990,1006,1352,85,987,955,1344,81,978,993,1345,86,982,1031,1331,83,978,1031,1355,76,974,1044,1344,92,988,998,1339,80,983,0
1079,1359,81,960,1051,1348,83,965,1036,1341,86,965,1063,1345,91,965,1070,1387,78,971,1078,1406,90,969,1086,1395,83,969,1142,1398,84,964,1122,1385,79,976,801,1374,74,973,965,1347,92,970,986,1400,83,990,1006,1352,85,987,955,1344,81,978,993,1345,86,982,1031,1331,83,978,1031,1355,76,974,1044,1344,92,988,998,1339,80,983,946,1312,80,983,0
1051,1348,83,965,1036,1341,86,965,1063,1345,91,965,1070,1387,78,971,1078,1406,90,969,1086,1395,83,969,1142,1398,84,964,1122,1385,79,976,801,1374,74,973,965,1347,92,970,986,1400,83,990,1006,1352,85,987,955,1344,81,978,993,1345,86,982,1031,1331,83,978,1031,1355,76,974,1044,1344,92,988,998,1339,80,983,946,1312,80,983,989,1346,80,980,0
1036,1341,86,965,1063,1345,91,965,1070,1387,78,971,1078,1406,90,969,1086,1395,83,969,1142,1398,84,964,1122,1385,79,976,801,1374,74,973,965,1347,92,970,986,1400,83,990,1006,1352,85,987,955,1344,81,978,993,1345,86,982,1031,1331,83,978,1031,1355,76,974,1044,1344,92,988,998,1339,80,983,946,1312,80,983,989,1346,80,980,1071,1320,80,979,0
1063,1345,91,965,1070,1387,78,971,1078,1406,90,969,1086,1395,83,969,1142,1398,84,964,1122,1385,79,976,801,1374,74,973,965,1347,92,970,986,1400,83,990,1006,1352,85,987,955,1344,81,978,993,1345,86,982,1031,1331,83,978,1031,1355,76,974,1044,1344,92,988,998,1339,80,983,946,1312,80,983,989,1346,80,980,1071,1320,80,979,1071,1353,86,985,0
1070,1387,78,971,1078,1406,90,969,1086,1395,83,969,1142,1398,84,964,1122,1385,79,976,801,1374,74,973,965,1347,92,970,986,1400,83,990,1006,1352,85,987,955,1344,81,978,993,1345,86,982,1031,1331,83,978,1031,1355,76,974,1044,1344,92,988,998,1339,80,983,946,1312,80,983,989,1346,80,980,1071,1320,80,979,1071,1353,86,985,1020,1372,93,987,0
1078,1406,90,969,1086,1395,83,969,1142,1398,84,964,1122,1385,79,976,801,1374,74,973,965,1347,92,970,986,1400,83,990,1006,1352,85,987,955,1344,81,978,993,1345,86,982,1031,1331,83,978,1031,1355,76,974,1044,1344,92,988,998,1339,80,983,946,1312,80,983,989,1346,80,980,1071,1320,80,979,1071,1353,86,985,1020,1372,93,987,846,1387,76,983,0
1086,1395,83,969,1142,1398,84,964,1122,1385,79,976,801,1374,74,973,965,1347,92,970,986,1400,83,990,1006,1352,85,987,955,1344,81,978,993,1345,86,982,1031,1331,83,978,1031,1355,76,974,1044,1344,92,988,998,1339,80,983,946,1312,80,983,989,1346,80,980,1071,1320,80,979,1071,1353,86,985,1020,1372,93,987,846,1387,76,983,1022,1386,95,977,0
1142,1398,84,964,1122,1385,79,976,801,1374,74,973,965,1347,92,970,986,1400,83,990,1006,1352,85,987,955,1344,81,978,993,1345,86,982,1031,1331,83,978,1031,1355,76,974,1044,1344,92,988,998,1339,80,983,946,1312,80,983,989,1346,80,980,1071,1320,80,979,1071,1353,86,985,1020,1372,93,987,846,1387,76,983,1022,1386,95,977,1025,1366,81,974,0
1122,1385,79,976,801,1374,74,973,965,1347,92,970,986,1400,83,990,1006,1352,85,987,955,1344,81,978,993,1345,86,982,1031,1331,83,978,1031,1355,76,974,1044,1344,92,988,998,1339,80,983,946,1312,80,983,989,1346,80,980,1071,1320,80,979,1071,1353,86,985,1020,1372,93,987,846,1387,76,983,1022,1386,95,977,1025,1366,81,974,1051,1385,86,980,0
801,1374,74,973,965,1347,92,970,986,1400,83,990,1006,1352,85,987,955,1344,81,978,993,1345,86,982,1031,1331,83,978,1031,1355,76,974,1044,1344,92,988,998,1339,80,983,946,1312,80,983,989,1346,80,980,1071,1320,80,979,1071,1353,86,985,1020,1372,93,987,846,1387,76,983,1022,1386,95,977,1025,1366,81,974,1051,1385,86,980,1023,1366,90,982,0
965,1347,92,970,986,1400,83,990,1006,1352,85,987,955,1344,81,978,993,1345,86,982,1031,1331,83,978,1031,1355,76,974,1044,1344,92,988,998,1339,80,983,946,1312,80,983,989,1346,80,980,1071,1320,80,979,1071,1353,86,985,1020,1372,93,987,846,1387,76,983,1022,1386,95,977,1025,1366,81,974,1051,1385,86,980,1023,1366,90,982,1031,1375,84,976,0
986,1400,83,990,1006,1352,85,987,955,1344,81,978,993,1345,86,982,1031,1331,83,978,1031,1355,76,974,1044,1344,92,988,998,1339,80,983,946,1312,80,983,989,1346,80,980,1071,1320,80,979,1071,1353,86,985,1020,1372,93,987,846,1387,76,983,1022,1386,95,977,1025,1366,81,974,1051,1385,86,980,1023,1366,90,982,1031,1375,84,976,1067,1375,85,970,0
1006,1352,85,987,955,1344,81,978,993,1345,86,982,1031,1331,83,978,1031,1355,76,974,1044,1344,92,988,998,1339,80,983,946,1312,80,983,989,1346,80,980,1071,1320,80,979,1071,1353,86,985,1020,1372,93,987,846,1387,76,983,1022,1386,95,977,1025,1366,81,974,1051,1385,86,980,1023,1366,90,982,1031,1375,84,976,1067,1375,85,970,1045,1362,78,973,0
955,1344,81,978,993,1345,86,982,1031,1331,83,978,1031,1355,76,974,1044,1344,92,988,998,1339,80,983,946,1312,80,983,989,1346,80,980,1071,1320,80,979,1071,1353,86,985,1020,1372,93,987,846,1387,76,983,1022,1386,95,977,1025,1366,81,974,1051,1385,86,980,1023,1366,90,982,1031,1375,84,976,1067,1375,85,970,1045,1362,78,973,980,1275,31,962,0
993,1345,86,982,1031,1331,83,978,1031,1355,76,974,1044,1344,92,988,998,1339,80,983,946,1312,80,983,989,1346,80,980,1071,1320,80,979,1071,1353,86,985,1020,1372,93,987,846,1387,76,983,1022,1386,95,977,1025,1366,81,974,1051,1385,86,980,1023,1366,90,982,1031,1375,84,976,1067,1375,85,970,1045,1362,78,973,980,1275,31,962,952,1260,20,955,0
1031,1331,83,978,1031,1355,76,974,1044,1344,92,988,998,1339,80,983,946,1312,80,983,989,1346,80,980,1071,1320,80,979,1071,1353,86,985,1020,1372,93,987,846,1387,76,983,1022,1386,95,977,1025,1366,81,974,1051,1385,86,980,1023,1366,90,982,1031,1375,84,976,1067,1375,85,970,1045,1362,78,973,980,1275,31,962,952,1260,20,955,971,1288,23,966,0
1031,1355,76,974,1044,1344,92,988,998,1339,80,983,946,1312,80,983,989,1346,80,980,1071,1320,80,979,1071,1353,86,985,1020,1372,93,987,846,1387,76,983,1022,1386,95,977,1025,1366,81,974,1051,1385,86,980,1023,1366,90,982,1031,1375,84,976,1067,1375,85,970,1045,1362,78,973,980,1275,31,962,952,1260,20,955,971,1288,23,966,1030,1295,29,962,0
