eye0,mouth0,turn0,nod0,eye1,mouth1,turn1,nod1,eye2,mouth2,turn2,nod2,eye3,mouth3,turn3,nod3,eye4,mouth4,turn4,nod4,eye5,mouth5,turn5,nod5,eye6,mouth6,turn6,nod6,eye7,mouth7,turn7,nod7,eye8,mouth8,turn8,nod8,eye9,mouth9,turn9,nod9,eye10,mouth10,turn10,nod10,eye11,mouth11,turn11,nod11,eye12,mouth12,turn12,nod12,eye13,mouth13,turn13,nod13,eye14,mouth14,turn14,nod14,eye15,mouth15,turn15,nod15,eye16,mouth16,turn16,nod16,eye17,mouth17,turn17,nod17,eye18,mouth18,turn18,nod18,eye19,mouth19,turn19,nod19,label
1171,1228,72,989,1147,1270,92,975,1125,1254,69,1000,1099,1201,66,965,1147,1203,75,984,1104,1204,68,990,1086,1170,72,989,1193,1182,63,994,1092,1197,61,990,1160,1201,54,993,1129,1221,47,1005,1148,1186,62,999,1132,1149,70,991,1075,1160,69,999,1140,1182,59,1001,1208,1127,66,1013,1193,1156,46,996,1191,1177,68,1006,1145,1147,81,1000,1010,1119,77,1010,0
1147,1270,92,975,1125,1254,69,1000,1099,1201,66,965,1147,1203,75,984,1104,1204,68,990,1086,1170,72,989,1193,1182,63,994,1092,1197,61,990,1160,1201,54,993,1129,1221,47,1005,1148,1186,62,999,1132,1149,70,991,1075,1160,69,999,1140,1182,59,1001,1208,1127,66,1013,1193,1156,46,996,1191,1177,68,1006,1145,1147,81,1000,1010,1119,77,1010,1220,1128,63,1010,0
1125,1254,69,1000,1099,1201,66,965,1147,1203,75,984,1104,1204,68,990,1086,1170,72,989,1193,1182,63,994,1092,1197,61,990,1160,1201,54,993,1129,1221,47,1005,1148,1186,62,999,1132,1149,70,991,1075,1160,69,999,1140,1182,59,1001,1208,1127,66,1013,1193,1156,46,996,1191,1177,68,1006,1145,1147,81,1000,1010,1119,77,1010,1220,1128,63,1010,1170,1168,65,1009,0
1099,1201,66,965,1147,1203,75,984,1104,1204,68,990,1086,1170,72,989,1193,1182,63,994,1092,1197,61,990,1160,1201,54,993,1129,1221,47,1005,1148,1186,62,999,1132,1149,70,991,1075,1160,69,999,1140,1182,59,1001,1208,1127,66,1013,1193,1156,46,996,1191,1177,68,1006,1145,1147,81,1000,1010,1119,77,1010,1220,1128,63,1010,1170,1168,65,1009,1208,1167,66,1004,0
1147,1203,75,984,1104,1204,68,990,1086,1170,72,989,1193,1182,63,994,1092,1197,61,990,1160,1201,54,993,1129,1221,47,1005,1148,1186,62,999,1132,1149,70,991,1075,1160,69,999,1140,1182,59,1001,1208,1127,66,1013,1193,1156,46,996,1191,1177,68,1006,1145,1147,81,1000,1010,1119,77,1010,1220,1128,63,1010,1170,1168,65,1009,1208,1167,66,1004,1127,1145,80,1010,0
1104,1204,68,990,1086,1170,72,989,1193,1182,63,994,1092,1197,61,990,1160,1201,54,993,1129,1221,47,1005,1148,1186,62,999,1132,1149,70,991,1075,1160,69,999,1140,1182,59,1001,1208,1127,66,1013,1193,1156,46,996,1191,1177,68,1006,1145,1147,81,1000,1010,1119,77,1010,1220,1128,63,1010,1170,1168,65,1009,1208,1167,66,1004,1127,1145,80,1010,1166,1183,69,989,0
1086,1170,72,989,1193,1182,63,994,1092,1197,61,990,1160,1201,54,993,1129,1221,47,1005,1148,1186,62,999,1132,1149,70,991,1075,1160,69,999,1140,1182,59,1001,1208,1127,66,1013,1193,1156,46,996,1191,1177,68,1006,1145,1147,81,1000,1010,1119,77,1010,1220,1128,63,1010,1170,1168,65,1009,1208,1167,66,1004,1127,1145,80,1010,1166,1183,69,989,1203,1165,73,995,0
1193,1182,63,994,1092,1197,61,990,1160,1201,54,993,1129,1221,47,1005,1148,1186,62,999,1132,1149,70,991,1075,1160,69,999,1140,1182,59,1001,1208,1127,66,1013,1193,1156,46,996,1191,1177,68,1006,1145,1147,81,1000,1010,1119,77,1010,1220,1128,63,1010,1170,1168,65,1009,1208,1167,66,1004,1127,1145,80,1010,1166,1183,69,989,1203,1165,73,995,1190,1168,71,992,0
1092,1197,61,990,1160,1201,54,993,1129,1221,47,1005,1148,1186,62,999,1132,1149,70,991,1075,1160,69,999,1140,1182,59,1001,1208,1127,66,1013,1193,1156,46,996,1191,1177,68,1006,1145,1147,81,1000,1010,1119,77,1010,1220,1128,63,1010,1170,1168,65,1009,1208,1167,66,1004,1127,1145,80,1010,1166,1183,69,989,1203,1165,73,995,1190,1168,71,992,1209,1187,72,1001,0
1160,1201,54,993,1129,1221,47,1005,1148,1186,62,999,1132,1149,70,991,1075,1160,69,999,1140,1182,59,1001,1208,1127,66,1013,1193,1156,46,996,1191,1177,68,1006,1145,1147,81,1000,1010,1119,77,1010,1220,1128,63,1010,1170,1168,65,1009,1208,1167,66,1004,1127,1145,80,1010,1166,1183,69,989,1203,1165,73,995,1190,1168,71,992,1209,1187,72,1001,1175,1173,74,997,0
