eye0,mouth0,turn0,nod0,eye1,mouth1,turn1,nod1,eye2,mouth2,turn2,nod2,eye3,mouth3,turn3,nod3,eye4,mouth4,turn4,nod4,eye5,mouth5,turn5,nod5,eye6,mouth6,turn6,nod6,eye7,mouth7,turn7,nod7,eye8,mouth8,turn8,nod8,eye9,mouth9,turn9,nod9,eye10,mouth10,turn10,nod10,eye11,mouth11,turn11,nod11,eye12,mouth12,turn12,nod12,eye13,mouth13,turn13,nod13,eye14,mouth14,turn14,nod14,eye15,mouth15,turn15,nod15,eye16,mouth16,turn16,nod16,eye17,mouth17,turn17,nod17,eye18,mouth18,turn18,nod18,eye19,mouth19,turn19,nod19,label
695,980,191,987,654,983,183,979,830,987,178,974,675,941,195,981,807,944,203,991,838,940,180,983,869,937,212,994,926,941,195,1007,918,925,181,1025,977,932,214,1038,920,943,220,1053,960,985,196,1050,1006,1021,215,1067,974,1025,228,1057,947,1037,222,1071,898,1049,250,1060,903,1034,244,1058,877,1060,252,1046,903,1086,249,1058,915,1053,243,1050,0
654,983,183,979,830,987,178,974,675,941,195,981,807,944,203,991,838,940,180,983,869,937,212,994,926,941,195,1007,918,925,181,1025,977,932,214,1038,920,943,220,1053,960,985,196,1050,1006,1021,215,1067,974,1025,228,1057,947,1037,222,1071,898,1049,250,1060,903,1034,244,1058,877,1060,252,1046,903,1086,249,1058,915,1053,243,1050,906,1020,254,1031,0
830,987,178,974,675,941,195,981,807,944,203,991,838,940,180,983,869,937,212,994,926,941,195,1007,918,925,181,1025,977,932,214,1038,920,943,220,1053,960,985,196,1050,1006,1021,215,1067,974,1025,228,1057,947,1037,222,1071,898,1049,250,1060,903,1034,244,1058,877,1060,252,1046,903,1086,249,1058,915,1053,243,1050,906,1020,254,1031,921,1032,245,1026,0
675,941,195,981,807,944,203,991,838,940,180,983,869,937,212,994,926,941,195,1007,918,925,181,1025,977,932,214,1038,920,943,220,1053,960,985,196,1050,1006,1021,215,1067,974,1025,228,1057,947,1037,222,1071,898,1049,250,1060,903,1034,244,1058,877,1060,252,1046,903,1086,249,1058,915,1053,243,1050,906,1020,254,1031,921,1032,245,1026,903,1026,211,1019,0
807,944,203,991,838,940,180,983,869,937,212,994,926,941,195,1007,918,925,181,1025,977,932,214,1038,920,943,220,1053,960,985,196,1050,1006,1021,215,1067,974,1025,228,1057,947,1037,222,1071,898,1049,250,1060,903,1034,244,1058,877,1060,252,1046,903,1086,249,1058,915,1053,243,1050,906,1020,254,1031,921,1032,245,1026,903,1026,211,1019,925,1066,209,1010,0
838,940,180,983,869,937,212,994,926,941,195,1007,918,925,181,1025,977,932,214,1038,920,943,220,1053,960,985,196,1050,1006,1021,215,1067,974,1025,228,1057,947,1037,222,1071,898,1049,250,1060,903,1034,244,1058,877,1060,252,1046,903,1086,249,1058,915,1053,243,1050,906,1020,254,1031,921,1032,245,1026,903,1026,211,1019,925,1066,209,1010,829,1040,212,1011,0
869,937,212,994,926,941,195,1007,918,925,181,1025,977,932,214,1038,920,943,220,1053,960,985,196,1050,1006,1021,215,1067,974,1025,228,1057,947,1037,222,1071,898,1049,250,1060,903,1034,244,1058,877,1060,252,1046,903,1086,249,1058,915,1053,243,1050,906,1020,254,1031,921,1032,245,1026,903,1026,211,1019,925,1066,209,1010,829,1040,212,1011,793,977,211,1011,0
926,941,195,1007,918,925,181,1025,977,932,214,1038,920,943,220,1053,960,985,196,1050,1006,1021,215,1067,974,1025,228,1057,947,1037,222,1071,898,1049,250,1060,903,1034,244,1058,877,1060,252,1046,903,1086,249,1058,915,1053,243,1050,906,1020,254,1031,921,1032,245,1026,903,1026,211,1019,925,1066,209,1010,829,1040,212,1011,793,977,211,1011,826,919,232,1006,0
918,925,181,1025,977,932,214,1038,920,943,220,1053,960,985,196,1050,1006,1021,215,1067,974,1025,228,1057,947,1037,222,1071,898,1049,250,1060,903,1034,244,1058,877,1060,252,1046,903,1086,249,1058,915,1053,243,1050,906,1020,254,1031,921,1032,245,1026,903,1026,211,1019,925,1066,209,1010,829,1040,212,1011,793,977,211,1011,826,919,232,1006,847,862,252,1018,0
977,932,214,1038,920,943,220,1053,960,985,196,1050,1006,1021,215,1067,974,1025,228,1057,947,1037,222,1071,898,1049,250,1060,903,1034,244,1058,877,1060,252,1046,903,1086,249,1058,915,1053,243,1050,906,1020,254,1031,921,1032,245,1026,903,1026,211,1019,925,1066,209,1010,829,1040,212,1011,793,977,211,1011,826,919,232,1006,847,862,252,1018,827,821,218,1005,0
920,943,220,1053,960,985,196,1050,1006,1021,215,1067,974,1025,228,1057,947,1037,222,1071,898,1049,250,1060,903,1034,244,1058,877,1060,252,1046,903,1086,249,1058,915,1053,243,1050,906,1020,254,1031,921,1032,245,1026,903,1026,211,1019,925,1066,209,1010,829,1040,212,1011,793,977,211,1011,826,919,232,1006,847,862,252,1018,827,821,218,1005,925,781,251,1016,0
960,985,196,1050,1006,1021,215,1067,974,1025,228,1057,947,1037,222,1071,898,1049,250,1060,903,1034,244,1058,877,1060,252,1046,903,1086,249,1058,915,1053,243,1050,906,1020,254,1031,921,1032,245,1026,903,1026,211,1019,925,1066,209,1010,829,1040,212,1011,793,977,211,1011,826,919,232,1006,847,862,252,1018,827,821,218,1005,925,781,251,1016,575,711,277,1004,0
